HumanGeneName	MouseGeneName
PCDHB11	Pcdhb19
PCDHAC1	Pcdhac1
PCDHB10	Pcdhb18
PCDHB18P	Pcdhb21
PCDHB13	Pcdhb16
PCDHGA12	Pcdhga12
PCDHGA3	Pcdhga3
PCDHB7	Pcdhb15
PCDHB16	Pcdhb17
PCDHB14	Pcdhb20
PCDHB2	Pcdhb2
PCDHGB2	Pcdhgb2
PCDHGA11	Pcdhga11
PCDHB3	Pcdhb3
PCDHB1	Pcdhb1
PCDHGB1	Pcdhgb1
PCDHB6	Pcdhb13
PCDHB15	Pcdhb22
PCDHGA9	Pcdhga9
PCDHGA6	Pcdhga6
PCDHGA7	Pcdhga7
PCDHGA4	Pcdhga4
PIGG	Pigg
GABRG1	Gabrg1
C19orf12	1600014C10Rik
CD84	Cd84
SLAMF7	Slamf7
SSH3	Ssh3
XKR5	Xkr5
CD27	Cd27
CCR4	Ccr4
MINAR1	Minar1
SCYL1	Scyl1
SPAG5	Spag5
C5orf22	6030458C11Rik
ARMH3	Armh3
C1orf35	2310033P09Rik
TMEM208	Tmem208
NCBP3	Ncbp3
C11orf58	1110004F10Rik
TMC6	Tmc6
ITGB1BP2	Itgb1bp2
KIF2B	Kif2b
KIF2A	Kif2a
VWA5A	Vwa5a
RTKN	Rtkn
TXNRD2	Txnrd2
APBA3	Apba3
ATG14	Atg14
UBE2C	Ube2c
C3orf70	2510009E07Rik
CCKBR	Cckbr
CD22	Cd22
NAALADL1	Naaladl1
CFAP157	Cfap157
SUSD1	Susd1
C2orf42	C87436
CLDN22	Cldn22
CLDN24	Cldn24
DNAH10	Dnah10
MDC1	Mdc1
MDFI	Mdfi
SPACA9	Spaca9
GTF2A1L	Gtf2a1l
XAF1	Xaf1
CDIN1	Cdin1
CFAP99	Cfap99
NDUFB3	Ndufb3
GRAMD2A	Gramd2
RELL1	Rell1
MANBAL	Manbal
TSPAN10	Tspan10
ARSJ	Arsj
ZNF217	Zfp217
WDR44	Wdr44
OXSM	Oxsm
STYXL2	Dusp27
RTRAF	Rtraf
KLHDC7A	Klhdc7a
ZBTB7B	Zbtb7b
CCDC166	Ccdc166
MKRN2OS	Mkrn2os
DDB1	Ddb1
CCDC117	Ccdc117
C1orf52	2410004B18Rik
RPL29	Rpl29
C9orf85	1110059E24Rik
STEEP1	Steep1
C2orf76	3110009E18Rik
C1orf21	1700025G04Rik
CD68	Cd68
CARD19	Card19
DOK4	Dok4
PAXX	Paxx
MLIP	Mlip
FAM98C	Fam98c
C1orf159	9430015G10Rik
C8orf76	9130401M01Rik
PLA2G4C	Pla2g4c
FUBP3	Fubp3
C12orf29	4930430F08Rik
RMC1	Rmc1
IFTAP	Iftap
ILRUN	Ilrun
C8orf33	1110038F14Rik
REXO4	Rexo4
C1orf74	A130010J15Rik
CFAP161	Cfap161
ASPSCR1	Aspscr1
GABRA4	Gabra4
GRAMD1C	Gramd1c
LRMDA	Lrmda
SPRING1	Spring1
C1orf50	AU022252
MTRES1	Mtres1
C2orf49	AI597479
BORCS7	Borcs7
C18orf54	4930503L19Rik
CCDC86	Ccdc86
C10orf53	1700024G13Rik
BICDL2	Bicdl2
CPN2	Cpn2
C12orf4	D6Wsu163e
FAM47E	Fam47e
FAM47A	Fam47c
NFAM1	Nfam1
CZIB	Czib
C1orf116	AA986860
TMEM266	Tmem266
C8orf34	A830018L16Rik
AOPEP	Aopep
C9orf64	2210016F16Rik
C6orf89	BC004004
H3C4	H3c8
C7orf25	AW209491
C12orf43	2210016L21Rik
C12orf56	D930020B18Rik
PLPP1	Plpp1
C6orf136	2310061I04Rik
CABCOCO1	Cabcoco1
C15orf40	3110040N11Rik
MACIR	Macir
REX1BD	Rex1bd
PIERCE1	Pierce1
WIZ	Wiz
LRIF1	Lrif1
C3orf38	4930453N24Rik
C22orf39	2510002D24Rik
TMEM81	Tmem81
C2CD4B	C2cd4b
C2CD4A	C2cd4a
INAVA	Inava
IGSF6	Igsf6
C6orf47	D17H6S53E
TEX55	Tex55
MAP4K4	Map4k4
CCDC171	Ccdc171
THBD	Thbd
ZNHIT6	Znhit6
C11orf87	AI593442
RD3L	Rd3l
DBNDD1	Dbndd1
PRSS23	Prss23
TNFRSF25	Tnfrsf25
KCNK4	Kcnk4
TSPYL4	Tspyl4
TSPYL1	Tspyl1
TSPYL2	Tspyl2
TSPY26P	Tspyl3
TSPYL5	Tspyl5
SH3RF2	Sh3rf2
DBNDD2	Dbndd2
ARHGAP30	Arhgap30
HPN	Hpn
SIMC1	Simc1
NKPD1	Nkpd1
CENPU	Cenpu
C5orf24	B230219D22Rik
GPRIN2	Gprin2
C16orf91	BC003965
ZNF638	Zfp638
MAP10	Map10
C11orf16	BC051019
SLF1	Slf1
SLC35A2	Slc35a2
TCAIM	Tcaim
H2BC1	H2bc1
SLC37A3	Slc37a3
GNG10	Gng10
PIK3C2G	Pik3c2g
MRPL33	Mrpl33
C11orf1	1110032A03Rik
UQCR10	Uqcr10
SPAG8	Spag8
HACD1	Hacd1
CXCL2	Cxcl1
CXCL1	Cxcl2
PPBP	Ppbp
SGTA	Sgta
CFAP299	Cfap299
C2orf68	0610030E20Rik
HOATZ	Hoatz
SMIM13	Smim13
TMEM71	Tmem71
CDK17	Cdk17
APELA	Apela
ARID3C	Arid3c
CREG1	Creg1
CFAP276	Cfap276
NANOS1	Nanos1
TLCD3A	Tlcd3a
MZT1	Mzt1
RBM14	Rbm14
PCDH8	Pcdh8
DYNLRB2	Dynlrb2
TIMM21	Timm21
SLC35G1	Slc35g1
ARID5B	Arid5b
TMEM101	Tmem101
DMAC2	Dmac2
BRSK1	Brsk1
RIMOC1	Rimoc1
OXLD1	Oxld1
KLHL10	Klhl10
RAP1GAP	Rap1gap
GPR26	Gpr26
PRRT3	Prrt3
SLC15A5	Slc15a5
MALSU1	Malsu1
MDFIC2	Mdfic2
SLC22A17	Slc22a17
LRRN2	Lrrn2
TMEM42	Tmem42
NDUFC1	Ndufc1
NINJ1	Ninj1
C11orf24	1810055G02Rik
HYLS1	Hyls1
H3C13	H2bc21
AKAP14	Akap14
SIL1	Sil1
MFRP	Mfrp
ZFTA	Zfta
NECTIN4	Nectin4
LRRC14	Lrrc14
WDR93	Wdr93
DDAH1	Ddah1
C11orf54	4931406C07Rik
DDX17	Ddx17
KLC2	Klc2
RAB5IF	Rab5if
KLF10	Klf10
RCCD1	Rccd1
C1orf198	2310022B05Rik
HROB	Hrob
FAM174C	Fam174c
RNPEPL1	Rnpepl1
NEPRO	Nepro
RASA2	Rasa2
ARF5	Arf5
ARF4	Arf4
ARAP1	Arap1
LCORL	Lcorl
ZFHX2	Zfhx2
NOBOX	Nobox
CTXN2	Ctxn2
PPP4R3B	Ppp4r3b
MOB1A	Mob1a
FDXACB1	Fdxacb1
TMSB15A	Tmsb15l
TMSB15B	Tmsb15b1
MAP3K6	Map3k6
RPL27A	Rpl27a
COX7B	Cox7b
COX7B2	Cox7b2
IL4I1	Il4i1b
NOP14	Nop14
TACC2	Tacc2
RBIS	Rbis
HAUS8	Haus8
INTS15	Ents15
ZMYND10	Zmynd10
WDR77	Wdr77
LBH	Lbh
SPEF1	Spef1l
WBP11	Wbp11
BACE1	Bace1
C18orf25	8030462N17Rik
C6orf120	1600012H06Rik
NUP54	Nup54
IFT122	Ift122
ALG11	Alg11
ANTKMT	Antkmt
TMEM30B	Tmem30b
TATDN1	Tatdn1
GAPVD1	Gapvd1
SLC35F6	Slc35f6
CYBC1	Cybc1
RAMP1	Ramp1
PRODH2	Prodh2
CFAP300	Cfap300
RPUSD4	Rpusd4
SPOUT1	Spout1
CASKIN2	Caskin2
RSPH1	Rsph1
CMSS1	Cmss1
F8A1	F8a
PLEKHB1	Plekhb1
TONSL	Tonsl
RDM1	Rdm1
C4orf48	Gm1673
GIN1	Gin1
CCDC115	Ccdc115
ELMO3	Elmo3
AOC3	Aoc3
AOC2	Aoc2
TRMT13	Trmt13
TDRKH	Tdrkh
MOCOS	Mocos
EOLA1	Eola1
MCUR1	Mcur1
TMEM243	Tmem243
COPS6	Cops6
IGLON5	Iglon5
PBLD	Pbld2
CDC6	Cdc6
POLR2L	Polr2l
DCTN6	Dctn6
TTC38	Ttc38
SFT2D2	Sft2d2
GTF2A2	Gtf2a2
SMIM19	Smim19
UBE2S	Ube2s
PRIMPOL	Primpol
DUSP29	Dusp29
MYG1	Myg1
POLH	Polh
NUP62CL	Nup62cl
NUP62	Nup62
DYNLT1	Dynlt1c
TMEM200B	Tmem200b
BDKRB2	Bdkrb2
ATXN2	Atxn2
MEGF9	Megf9
MFSD3	Mfsd3
GATC	Gatc
UGT8	Ugt8a
LRRC61	Lrrc61
DUSP18	Dusp18
DUSP21	Dusp21
C4orf47	1700029J07Rik
CFAP126	Cfap126
CCDC137	Ccdc137
FAM168B	Fam168b
GDPGP1	Gdpgp1
RSPH10B	Rsph10b
VSIR	Vsir
SLC20A2	Slc20a2
KLF14	Klf14
GLB1L2	Glb1l2
GLB1L3	Glb1l3
CLRN2	Clrn2
FAM126B	Fam126b
ATP7B	Atp7b
UBAC2	Ubac2
TST	Tst
MPST	Mpst
HUS1B	Hus1b
HUS1	Hus1
TMEM14A	Tmem14a
TACO1	Taco1
TMCO6	Tmco6
LUC7L2	Luc7l2
TMEM17	Tmem17
TXNDC15	Txndc15
SLC16A7	Slc16a7
FAM163A	Fam163a
HSCB	Hscb
RPS6KA6	Rps6ka6
CFAP97D1	Cfap97d1
GPR45	Gpr45
MYADM	Myadm
FOXR1	Foxr1
FOXR2	Foxr2
LURAP1	Lurap1
METTL21C	Mettl21c
NCKAP1L	Nckap1l
PGAP3	Pgap3
MRPL55	Mrpl55
TBC1D13	Tbc1d13
IQCK	Iqck
MIA	Mia
ZC3H12A	Zc3h12a
MRPS36	Mrps36
MDP1	Mdp1
CHST8	Chst8
C2orf50	2410004P03Rik
C1orf127	Gm572
KCNIP4	Kcnip4
LMOD3	Lmod3
SELENOH	Selenoh
ASXL1	Asxl1
OMA1	Oma1
RHOBTB3	Rhobtb3
CLDN23	Cldn23
C19orf44	1700030K09Rik
CPLANE1	Cplane1
CLTRN	Cltrn
SLC25A22	Slc25a22
C2	C2
FMC1	Fmc1
C5orf15	9530068E07Rik
C22orf23	1700088E04Rik
LRRC69	Lrrc69
KCTD14	Kctd14
LRRC8E	Lrrc8e
SSTR4	Sstr4
SH2D1B	Sh2d1b1
FBXL19	Fbxl19
TMEM221	Tmem221
RNF151	Rnf151
FAM13C	Fam13c
CFAP119	Ccdc189
FAAP100	Faap100
ANKFN1	Ankfn1
ATP5MK	Gm14539
CFP	Cfp
HS3ST6	Hs3st6
HS3ST3A1	Hs3st3a1
SGSM2	Sgsm2
SVIP	Svip
C3orf18	6430571L13Rik
COLEC10	Colec10
CDK18	Cdk18
PCDHB4	Pcdhb9
PCDHGC5	Pcdhgc5
PCDHGC3	Pcdhgc3
PCDHGB5	Pcdhgb5
PCDHGB4	Pcdhgb4
FNDC10	Gm14131
GABRA2	Gabra2
EIF1B	Eif1b
MGARP	Mgarp
RASSF5	Rassf5
NOTCH4	Notch4
WNK2	Wnk2
EMC4	Emc4
SERINC3	Serinc3
AMDHD1	Amdhd1
TIFA	Tifa
KIF9	Kif9
TMEM102	Tmem102
RBPMS	Rbpms
PAQR9	Paqr9
MAD2L1BP	Mad2l1bp
CACUL1	Cacul1
NDUFAF8	Ndufaf8
UBE2M	Ube2m
SLC35E2A	Slc35e2
GLDC	Gldc
HACD4	Hacd4
SCAF8	Scaf8
POLR3D	Polr3d
CREB3L4	Creb3l4
CORO1B	Coro1b
CIDEC	Cidec
FKBPL	Fkbpl
NAT9	Nat9
PODXL2	Podxl2
BUD13	Bud13
SENP1	Senp1
HPF1	Hpf1
TBC1D10B	Tbc1d10b
EMSY	Emsy
NAPSA	Napsa
RRP8	Rrp8
CD53	Cd53
SLC25A34	Slc25a34
AP3B1	Ap3b1
GOLM1	Golm1
UBL4A	Ubl4a
UBL4B	Ubl4b
EIF1AD	Eif1ad
MTMR4	Mtmr4
MTFP1	Mtfp1
UBL5	Ubl5
TMEM254	Tmem254
PTPN12	Ptpn12
DTX3	Dtx3
WDR83OS	Wdr83os
DCTPP1	Dctpp1
SP6	Sp6
GTSF1	Gtsf1
GTSF1L	Gtsf1l
LACTB2	Lactb2
CKAP4	Ckap4
WARS1	Wars
TMEM38B	Tmem38b
PRSS53	Prss53
EIF2B1	Eif2b1
MRPS26	Mrps26
ZNF830	Zfp830
N6AMT1	N6amt1
PSMB10	Psmb10
TPGS1	Tpgs1
DXO	Dxo
PLA2G10	Pla2g10
C4orf33	D3Ertd751e
PBDC1	Pbdc1
EEF1A2	Eef1a2
POLQ	Polq
CELA1	Cela1
TRAPPC2L	Trappc2l
DHDH	Dhdh
SKA2	Ska2
ATP6V0E1	Atp6v0e
C9orf78	BC005624
FHAD1	Fhad1
GID4	Gid4
TMEM43	Tmem43
HDGFL3	Hdgfl3
UPRT	Uprt
TERB2	Terb2
ARMT1	Armt1
APOOL	Apool
MTARC2	Mtarc2
MTARC1	Mtarc1
HIKESHI	Hikeshi
COMMD10	Commd10
TOR4A	Tor4a
TSEN34	Tsen34
BEND7	Bend7
MAIP1	Maip1
PMF1	Pmf1
FIS1	Fis1
ABCC10	Abcc10
TIMM29	Timm29
BOLA2	Bola2
FAM241A	Fam241a
TMEM128	Tmem128
VPS16	Vps16
TRMO	Trmo
EXO5	Exo5
CCDC92	Ccdc92
TMEM150B	Tmem150b
MRNIP	Mrnip
SLC39A14	Slc39a14
HNRNPH3	Hnrnph3
JHY	Jhy
MCOLN2	Mcoln2
ZBTB26	Zbtb26
VPS37D	Vps37d
UTP14A	Utp14a
GPR83	Gpr83
GPR165P	Gpr165
ERAS	Eras
TMEM116	Tmem116
CELF6	Celf6
RALYL	Ralyl
PKD1L3	Pkd1l3
KTI12	Kti12
C17orf75	5730455P16Rik
C15orf48	AA467197
JOSD1	Josd1-ps
MOV10L1	Mov10l1
LENG9	Leng9
MRPL18	Mrpl18
ARMC8	Armc8
ATF6B	Atf6b
MRPS28	Mrps28
ARHGEF17	Arhgef17
HSPB11	Hspb11
OGFOD2	Ogfod2
MARCHF3	Marchf3
CDC37	Cdc37
C15orf61	2300009A05Rik
DHX35	Dhx35
SMIM15	Smim15
FILIP1L	Filip1l
RUSF1	Rusf1
PMVK	Pmvk
STXBP6	Stxbp6
SLC25A17	Slc25a17
KNCN	Kncn
TNRC6B	Tnrc6b
MREG	Mreg
NFKBIB	Nfkbib
CD37	Cd37
RABEPK	Rabepk
DCAF8	Dcaf8
MTERF4	Mterf4
SPDL1	Spdl1
HPDL	Hpdl
SLC22A3	Slc22a3
PPFIA1	Ppfia1
CSTPP1	Cstpp1
C16orf87	4921524J17Rik
CENPS	Cenps
DTX2	Dtx2
THRSP	Thrsp
SECISBP2L	Secisbp2l
HTR2B	Htr2b
SYCE3	Syce3
ARMH1	Armh1
SNRNP200	Snrnp200
HNRNPUL2	Hnrnpul2
RASGRF1	Rasgrf1
COQ10A	Coq10a
TMEM184C	Tmem184c
NKAPD1	Nkapd1
GMEB2	Gmeb2
FBXO10	Fbxo10
SHLD2	Shld2
NTSR1	Ntsr1
ASB18	Asb18
GFOD1	Gfod1
SELENOI	Selenoi
ATG2A	Atg2a
XKR7	Xkr7
KCNV1	Kcnv1
FAM189B	Fam189b
INPP5D	Inpp5d
SMIM18	Smim18
EFNA4	Efna4
LIG1	Lig1
H6PD	H6pd
DIPK2B	Dipk2b
PRIMA1	Prima1
LRRC2	Lrrc2
CACFD1	Cacfd1
DTWD2	Dtwd2
LRRC41	Lrrc41
CD99	Cd99
RAB27B	Rab27b
CTPS2	Ctps2
RSL1D1	Rsl1d1
CAPN13	Capn13
SURF2	Surf2
FAM167B	Fam167b
PFN4	Pfn4
TMEM82	Tmem82
COA4	Coa4
GPR62	Gpr62
INPP1	Inpp1
THAP2	Thap2
LGALS4	Lgals4
ANKRD53	Ankrd53
CCR5	Ccr5
CCR3	Ccr3
CCR2	Ccr2
CX3CR1	Cx3cr1
H2AC4	H2ac6
SLAMF6	Slamf6
FCRLB	Fcrlb
NABP2	Nabp2
PTGR1	Ptgr1
C11orf98	1810009A15Rik
ADAMTSL5	Adamtsl5
GCA	Gca
FAM83G	Fam83g
ANKS6	Anks6
H2AC19	H2ac19
H2AC1	H2ac1
H2AC6	H2aj
SCGN	Scgn
ARFGAP1	Arfgap1
GEMIN8	Gemin8
SCYL2	Scyl2
SAPCD2	Sapcd2
RBM20	Rbm20
SKIDA1	Skida1
SLC29A2	Slc29a2
WDCP	Wdcp
FAM72A	Fam72a
MRPL51	Mrpl51
LEPROT	Leprot
COL13A1	Col13a1
POLD4	Pold4
CINP	Cinp
MRPL30	Mrpl30
OARD1	Oard1
YIPF7	Yipf7
C1orf43	4933434E20Rik
SNX2	Snx2
C19orf53	D8Ertd738e
RPS27L	Rps27l
BHLHA9	Bhlha9
RELL2	Rell2
SAMD12	Samd12
C5orf49	1700001L19Rik
VPS37B	Vps37b
ALKBH2	Alkbh2
MRPL49	Mrpl49
CHST4	Chst4
CHST5	Chst5
NAT14	Nat14
BMT2	Bmt2
EARS2	Ears2
CCDC34	Ccdc34
KCTD2	Kctd2
GUCD1	Gucd1
TMPPE	Tmppe
PNKP	Pnkp
SPA17	Spa17
C2orf69	1700066M21Rik
TSFM	Tsfm
ENDOU	Endou
NDUFAF3	Ndufaf3
CEP57	Cep57
PLEKHM1	Plekhm1
NEURL2	Neurl2
TRAFD1	Trafd1
LENG8	Leng8
CFAP20DC	Cfap20dc
CDK5RAP1	Cdk5rap1
FOLR1	Folr1
FOLR2	Folr2
IZUMO1R	Izumo1r
CYSTM1	Cystm1
LYRM7	Lyrm7
HMCES	Hmces
WDR31	Wdr31
RNF224	Rnf224
CDCA2	Cdca2
NMNAT3	Nmnat3
MAP4	Map4
DCUN1D3	Dcun1d3
UBN1	Ubn1
RPL37A	Rpl37a
DDO	Ddo
CDC42SE2	Cdc42se2
CCDC89	Ccdc89
ZCCHC4	Zcchc4
EGR4	Egr4
LAMP5	Lamp5
ZDHHC21	Zdhhc21
C1orf112	BC055324
PRKAB2	Prkab2
PDXP	Pdxp
LETMD1	Letmd1
TMEM186	Tmem186
SRMS	Srms
DNAJC25	Dnajc25
ENKD1	Enkd1
TSPAN17	Tspan17
SBK2	Sbk2
BNC1	Bnc1
BBOF1	Bbof1
MAP3K13	Map3k13
LPXN	Lpxn
REV1	Rev1
FNIP2	Fnip2
ZFP91	Zfp91
METTL18	Mettl18
DENND1C	Dennd1c
HASPIN	Haspin
PSD	Psd
DOC2A	Doc2a
PCNX3	Pcnx3
CCDC74A	Ccdc74a
C5orf63	C330018D20Rik
VAV2	Vav2
RNF122	Rnf122
MRPS12	Mrps12
ASPHD1	Asphd1
TTC29	Ttc29
MLANA	Mlana
IKZF4	Ikzf4
A1BG	A1bg
A3GALT2	A3galt2
A4GALT	A4galt
A4GNT	A4gnt
AARD	Aard
ABCA13	Abca13
ABCA7	Abca7
ABHD1	Abhd1
ABHD12B	Abhd12b
ABHD5	Abhd5
ABO	Abo
ACAD10	Acad10
ACKR1	Ackr1
ACKR2	Ackr2
ACOT12	Acot12
ACOX2	Acox2
ACP3	Acpp
ACP4	Acp4
ACR	Acr
ACRBP	Acrbp
ACRV1	Acrv1
ACTL10	Actl10
ACTL7A	Actl7a
ACTL7B	Actl7b
ACTL9	Actl9
ACTRT3	Actrt3
ACVR1C	Acvr1c
ADAM18	Adam18
ADAM1A	Adam1a
ADAM1B	Adam1b
ADAM2	Adam2
ADAM20	Adam20
ADAM21	Adam21
ADAM24P	Adam24
ADAM29	Adam29
ADAM30	Adam30
ADAM32	Adam32
ADAM3A	Adam3
ADAM5	Adam5
ADAM6	Adam6a
ADAM7	Adam7
ADAM9	Adam9
ADAMDEC1	Adamdec1
ADAMTS14	Adamts14
ADAMTS16	Adamts16
ADAMTS19	Adamts19
ADAMTS20	Adamts20
ADAMTS4	Adamts4
ADAMTS5	Adamts5
ADAMTS7	Adamts7
ADAMTSL1	Adamtsl1
ADCY10	Adcy10
ADCY4	Adcy4
ADGRE3	Adgre4
ADGRG5	Adgrg5
ADIG	Adig
ADORA3	Adora3
AGBL1	Agbl1
AGBL3	Agbl3
AGER	Ager
AGFG2	Agfg2
AGO4	Ago4
AGXT2	Agxt2
AHNAK2	Ahnak2
AHSP	Ahsp
AIF1	Aif1
AIFM3	Aifm3
AIM2	Aim2
AIRE	Aire
AIRN	Airn
AK6	Ak6
AKAIN1	Akain1
AKAP13	Akap13
AKAP3	Akap3
AKAP4	Akap4
AKAP5	Akap5
AKR1D1	Akr1d1
AKR1E2	Akr1e1
ALDH1A1	Aldh1a7
ALDH1B1	Aldh1b1
ALK	Alk
ALS2CL	Als2cl
AMBN	Ambn
AMELX	Amelx
AMER3	Amer3
AMHR2	Amhr2
AMIGO2	Amigo2
AMTN	Amtn
AMZ1	Amz1
AMZ2	Amz2
ANGPTL8	Angptl8
ANKLE1	Ankle1
ANKRD18A	Ankrd36
ANKRD23	Ankrd23
ANKRD26	Ankrd26
ANKRD31	Ankrd31
ANKRD34A	Ankrd34a
ANKRD35	Ankrd35
ANKRD42	Ankrd42
ANKRD50	Ankrd50
ANKRD60	Ankrd60
ANKRD61	Ankrd61
ANKRD63	Ankrd63
ANKRD65	Ankrd65
ANKRD66	Ankrd66
ANKRD7	Ankrd7
ANKUB1	Ankub1
ANO4	Ano4
ANO7	Ano7
ANOS1	Wfdc17
ANXA10	Anxa10
ANXA2R	Gm36079
ANXA7	Anxa7
ANXA8	Anxa8
AOAH	Aoah
AP2A2	Ap2a2
AP3B2	Ap3b2
AP3S1	Ap3s1
APLF	Aplf
APOA2	Apoa2
APOA5	Apoa5
APOBEC1	Apobec1
APOBEC3B	Apobec3
APOBEC4	Apobec4
APOBR	Apobr
APOC3	Apoc3
APOC4	Apoc4
APOH	Apoh
APOM	Apom
APONP	Apon
ARC	Arc
ARHGAP26	Arhgap26
ARHGAP40	Arhgap40
ARHGAP8	Arhgap8
ARHGDIB	Arhgdib
ARHGEF26	Arhgef26
ARIH2OS	Arih2os
ARL14EPL	Arl14epl
ARMC12	Armc12
ARMC9	Armc9
ARMCX1	Armcx1
ARMCX2	Armcx2
ARMCX3	Armcx3
ARMCX4	Armcx4
ARMCX5	Armcx5
ARMCX5-GPRASP2	Gprasp2
ARMCX6	Armcx6
ARMCX7P	Gm16397
ARMH2	Armh2
ARMH4	Armh4
ARRDC5	Arrdc5
ARTN	Artn
ASB17	Asb17
ASCL3	Ascl3
ASCL4	Ascl4
ASCL5	Ascl5
ASIC5	Asic5
ASPRV1	Asprv1
ASTN2	Astn2
ASXL3	Asxl3
ATP12A	Atp12a
ATP13A4	Atp13a4
ATP13A5	Atp13a5
ATP1A4	Atp1a4
ATP2C2	Atp2c2
ATP4A	Atp4a
ATP4B	Atp4b
ATP5PB	Atp5pb
ATP6V0A4	Atp6v0a4
ATP6V0D2	Atp6v0d2
ATP6V1B1	Atp6v1b1
ATP6V1FNB	Atp6v1fnb
ATP9A	Atp9a
ATXN7	Atxn7
ATXN7L3B	Atxn7l3b
AUNIP	Aunip
AXL	Axl
B3GALNT1	B3galnt1
B3GALT9	B3galt9
B3GNT4	B3gnt4
B4GALT5	B4galt5
BAK1	Bak1
BANF2	Banf2
BANK1	Bank1
BATF2	Batf2
BAZ1A	Baz1a
BBS1	Bbs1
BBX	Bbx
BCAS1	Bcas1
BCHE	Bche
BCL2A1	Bcl2a1c
BCL2L14	Bcl2l14
BCL2L15	Bcl2l15
BCL2L2	Bcl2l2
BCLAF1	Bclaf1
BCLAF3	Bclaf3
BDP1	Bdp1
BEND4	Bend4
BEST3	Best3
BEX1	Bex2
BEX2	Bex1
BEX3	Bex3
BEX4	Bex6
BFSP1	Bfsp1
BIK	Bik
BMNCR	Bmncr
BMX	Bmx
BNIP5	Bnip5
BOLL	Boll
BPIFA1	Bpifa5
BPIFA2	Bpifa2
BPIFA3	Bpifa3
BPIFB1	Bpifb1
BPIFB2	Bpifb2
BPIFB3	Bpifb3
BPIFB4	Bpifb4
BPIFB5P	Bpifb5
BPIFB6	Bpifb6
BPIFB9P	Bpifb9a
BRCA1	Brca1
BRD3OS	Brd3os
BRME1	Brme1
BRS3	Brs3
BSPH1	Bsph1
BST1	Bst1
BST2	Bst2
BTBD1	Btbd1
BTBD18	Btbd18
BTBD19	Btbd19
BTBD8	Btbd8
BTLA	Btla
BTN2A1	Btn2a2
BTN3A1	Btnl10
BTNL2	Btnl2
BTNL3	Btnl6
BTNL9	Btnl9
BTRC	Btrc
C10orf105	Gm17455
C10orf120	4933402N03Rik
C10orf143	9430038I01Rik
C10orf62	4933411K16Rik
C10orf82	1700019N19Rik
C10orf99	2610528A11Rik
C11orf42	Gm5901
C11orf71	Gm5617
C11orf80	Gm960
C11orf86	2010003K11Rik
C11orf91	A930018P22Rik
C11orf94	1700029I15Rik
C11orf97	1700012B09Rik
C12orf40	CN725425
C12orf42	1700113H08Rik
C12orf50	1700017N19Rik
C12orf54	1700031M16Rik
C12orf60	BC049715
C12orf71	1700034J05Rik
C13orf42	Gm4131
C13orf46	1700029H14Rik
C14orf132	D430019H16Rik
C14orf180	A530016L24Rik
C14orf39	4930447C04Rik
C14orf93	4931414P19Rik
C15orf62	Gm14137
C16orf54	AI467606
C16orf74	1190005I06Rik
C16orf78	4933402J07Rik
C16orf86	4933405L10Rik
C16orf90	1700037C18Rik
C16orf92	4930451I11Rik
C16orf95	1700018B08Rik
C16orf96	4930562C15Rik
C17orf100	4930563E22Rik
C17orf107	4930544D05Rik
C17orf50	1700020L24Rik
C17orf58	1810010H24Rik
C17orf64	1700125H20Rik
C17orf78	Gm11437
C17orf80	D11Wsu47e
C17orf98	1700001P01Rik
C17orf99	6030468B19Rik
C18orf32	BC031181
C19orf18	2900092C05Rik
C19orf33	2200002D01Rik
C19orf38	AB124611
C19orf48	2410002F23Rik
C19orf81	1700008O03Rik
C19orf85	Gm36210
C1orf100	1700016C15Rik
C1orf105	4930558K02Rik
C1orf122	1110065P20Rik
C1orf141	4921539E11Rik
C1orf162	I830077J02Rik
C1orf185	4930522H14Rik
C1orf216	5730409E04Rik
C1orf226	Gm7694
C1orf232	Gm30191
C1orf53	2310009B15Rik
C1orf54	BC028528
C1orf56	Gm128
C1orf68	2310050C09Rik
C1orf87	Gm12695
C1orf94	CK137956
C1QL1	C1ql1
C1QTNF3	C1qtnf3
C1QTNF7	C1qtnf7
C1R	C1rb
C1RL	C1rl
C20orf141	Tmem239
C20orf144	1700003F12Rik
C20orf173	6430550D23Rik
C20orf202	Tmem74bos
C20orf204	Gm29797
C20orf85	1700021F07Rik
C21orf140	Fam243
C21orf62	4932438H23Rik
C22orf15	Gm867
C22orf46	4930407I10Rik
C2CD2	C2cd2
C2CD4C	C2cd4c
C2CD4D	C2cd4d
C2CD6	C2cd6
C2orf66	Gm34066
C2orf72	2810459M11Rik
C2orf73	4930505A04Rik
C2orf74	1700093K21Rik
C2orf78	Gm4884
C2orf80	D630023F18Rik
C2orf81	1700003E16Rik
C3AR1	C3ar1
C3orf20	4930590J08Rik
C3orf22	BC048671
C3orf52	BC016579
C3orf56	7420426K07Rik
C3orf62	1700102P08Rik
C3orf80	1110032F04Rik
C3orf84	BC048562
C3orf85	Gm5485
C3orf86	Gm35549
C4BPA	C4bp
C4orf17	4930579F01Rik
C4orf19	0610040J01Rik
C4orf3	1810037I17Rik
C4orf36	1700016H13Rik
C4orf45	Gm17359
C4orf46	4930579G24Rik
C4orf50	Gm1043
C4orf51	1700011L22Rik
C4orf54	1110002E22Rik
C5AR1	C5ar1
C5AR2	C5ar2
C5orf34	4833420G17Rik
C5orf46	Gm94
C5orf47	4930524B15Rik
